69
10397,11259,14,7,EV,1159.86,1.44,-1,-19
14771,13851,20,6,OO,2228.24,2.767,16,-2
14771,13871,3,5,UA,2307.14,2.866,-4,4
14771,13198,8,1,OO,2413.39,2.997,2,3
10397,15376,20,6,DL,2478.96,3.079,-1,-10
12889,14730,1,1,WN,2611.55,3.244,50,34
13232,14570,1,1,WN,2705.63,3.361,-1,-3
10721,14524,25,4,B6,2736.61,3.399,-3,3
13232,13891,1,1,WN,2745,3.409,-2,-8
14771,15016,1,1,UA,2794.68,3.471,-1,-14
11292,14307,2,2,WN,2795.56,3.472,6,-10
10721,12953,15,1,US,2844.66,3.533,-2,-2
14747,10423,7,7,AS,2847.31,3.537,-11,-4
14747,14683,7,7,AS,2854.61,3.546,-3,-9
10721,13931,1,1,9E,2856.57,3.548,-8,-3
12892,12339,19,5,DL,2919.56,3.626,-2,-19
12478,10140,25,4,B6,2937.91,3.649,-2,35
14771,13342,1,1,WN,2970.24,3.689,82,61
14771,13232,1,1,WN,2987.05,3.71,1,-18
14747,13244,10,1,DL,3008.46,3.737,-8,-29
14747,12191,2,7,WN,3045.16,3.782,18,17
14771,13495,1,1,UA,3076.97,3.822,-6,-26
12889,12451,1,1,WN,3162.3,3.928,42,28
14747,10693,2,7,WN,3181.76,3.952,44,25
10721,14635,25,4,B6,3194.37,3.968,-2,8
12889,10792,1,1,WN,3195.37,3.969,5,-18
12892,11066,21,7,DL,3209.71,3.987,27,16
14771,11193,18,4,DL,3278.85,4.073,0,0
10721,14027,25,4,B6,3290.68,4.087,-2,7
11433,14771,19,5,DL,3347.78,4.158,-2,-13
12892,15304,20,6,DL,3471.01,4.311,21,-2
14771,11042,29,1,UA,3481.23,4.324,-6,-4
11298,14843,1,1,AA,3485.1,4.329,1,-14
14771,14122,1,1,UA,3628.61,4.507,-4,-10
14771,11057,2,2,US,3696.4,4.591,-4,-8
14771,14492,30,2,UA,3863.47,4.799,0,-6
11618,14908,25,4,UA,3913.94,4.862,-4,-3
14771,11278,24,3,UA,3931.49,4.883,47,30
14771,10821,1,1,UA,3954.68,4.912,-7,-4
12478,12954,25,4,B6,3965.32,4.925,-2,-9
12478,10800,25,4,B6,3965.83,4.926,35,43
10299,13487,16,2,DL,4052.66,5.034,-10,-38
12478,14893,25,4,B6,4056.76,5.039,0,-9
14771,14100,2,2,US,4058.93,5.042,-5,-12
12892,10529,27,2,AA,4064.83,5.049,-11,-1
14747,13204,7,7,AS,4107.6,5.102,-8,-15
12173,12892,18,4,DL,4113.61,5.11,4,10
12478,14831,25,4,B6,4133.29,5.134,7,18
12478,13796,25,4,B6,4143.41,5.147,-7,-4
14771,13303,1,1,AA,4163.09,5.171,152,154
12173,14057,1,1,HA,4188.09,5.202,0,-9
12173,14679,1,1,HA,4204.57,5.223,-1,-10
14747,12173,18,4,DL,4307.2,5.35,129,109
14747,11697,5,5,AS,4372.21,5.431,1,4
13303,14747,1,1,AA,4383.75,5.445,-3,-11
12173,12889,1,1,HA,4445.26,5.522,5,-21
12173,14107,1,1,HA,4692.19,5.828,3,-17
12173,14869,16,2,DL,4816.23,5.982,-7,-2
14843,10721,25,4,B6,4941.59,6.138,-1,-7
12173,11292,24,3,UA,5413.18,6.724,-5,-7
10397,10299,21,5,DL,5495.08,6.826,1,-28
12173,11298,1,1,AA,6088.8,7.563,210,182
12173,12266,24,3,UA,6281.46,7.803,1,24
13930,13830,27,6,UA,6737.05,8.369,1,-37
12173,13930,24,3,UA,6829.68,8.484,-4,-6
12173,10397,19,5,DL,7243.64,8.998,-1,-17
12173,12264,24,3,UA,7751.12,9.628,-3,-15
12173,11618,24,3,UA,7983.63,9.917,9,3
12173,12478,1,1,HA,8017.34,9.959,9,-36
